Ready for Implementation?,Event Action,Event THOR Address,Event Category,Event Label,Event Value,Example: Event Label,Note
Ready,skip_nav,*THOR_WALLET_ADDRESS*,navigation,image_logo,,,
Ready,skip_nav,*THOR_WALLET_ADDRESS*,navigation,icon_telegram,,,
Ready,skip_nav,*THOR_WALLET_ADDRESS*,navigation,icon_github,,,
Ready,skip_nav,*THOR_WALLET_ADDRESS*,navigation,icon_twitter,,,
Ready,skip_nav,*THOR_WALLET_ADDRESS*,navigation,block_counter,,,
Ready,skip_swap,,swap_disconnected,breadcrumb_skip,,,
Ready,skip_swap,,swap_disconnected,switch_pool,,,
Ready,skip_swap,,swap_disconnected,button_connect_wallet,,,
Ready,skip_swap,,pool_disconnected,breadcrumb_skip,,,
Ready,skip_pool,,pool_disconnected,switch_swap,,,
Ready,skip_pool,,pool_disconnected,tag_stats_*POOL*,,tag_stats_BCH.BCH,
Ready,skip_pool,,pool_disconnected,tag_deposit_*POOL*,,tag_deposit_BCH.BCH,
Ready,skip_pool,,pool_disconnected,button_connect_wallet,,,
Ready,skip_pool,,pool_disconnected_deposit,button_cancel_*POOL*,,button_cancel_BCH.BCH,
Ready,skip_pool,,pool_disconnected_deposit,button_connect_wallet_*POOL*,,button_connect_wallet_BCH.BCH,
Ready,skip_pool,,pool_disconnected_deposit,breadcrumb_skip,,,
Ready,skip_pool,,pool_disconnected_deposit,breadcrumb_pools,,,
Ready,skip_connect,,connect_select_wallet,breadcrumb_skip,,,
Ready,skip_connect,,connect_select_wallet,option_create_keystore,,,
Ready,skip_connect,,connect_select_wallet,option_create_keystore_phrase,,,
Ready,skip_connect,,connect_select_wallet,option_connect_keystore,,,
Ready,skip_connect,,connect_select_wallet,option_connect_xdefi,,,
Ready,skip_connect,,connect_select_wallet,button_cancel,,,
Ready,skip_connect,,connect_create_keystore,breadcrumb_skip,,,
Ready,skip_connect,,connect_create_keystore,breadcrumb_connect,,,
Ready,skip_connect,,connect_create_keystore,button_create,,,
Ready,skip_connect,,connect_create_keystore,button_cancel,,,
Ready,skip_connect,*THOR_WALLET_ADDRESS*,connect_create_keystore_secure,button_understand,,,
Ready,skip_connect,,connect_create_keystore_phrase,breadcrumb_skip,,,
Ready,skip_connect,,connect_create_keystore_phrase,breadcrumb_connect,,,
Ready,skip_connect,,connect_create_keystore_phrase,button_create,,,
Ready,skip_connect,,connect_create_keystore_phrase,button_cancel,,,
Ready,skip_connect,*THOR_WALLET_ADDRESS*,connect_create_keystore_phrase_secure,button_understand,,,
Ready,skip_connect,,connect_connect_keystore,breadcrumb_skip,,,
Ready,skip_connect,,connect_connect_keystore,breadcrumb_connect,,,
Ready,skip_connect,,connect_connect_keystore,tag_select_file,,,
Ready,skip_connect,,connect_connect_keystore,button_create,,,
Ready,skip_connect,,connect_connect_keystore,button_cancel,,,
Ready,skip_connect,,connect_connect_xdefi,breadcrumb_skip,,,
Ready,skip_connect,,connect_connect_xdefi,breadcrumb_connect,,,
Ready,skip_connect,,connect_connect_xdefi,button_connect,,,
Ready,skip_connect,,connect_connect_xdefi,button_cancel,,,
Ready,skip_connect,*THOR_WALLET_ADDRESS*,connect_reconnect_xdefi,breadcrumb_skip,,,
Ready,skip_connect,*THOR_WALLET_ADDRESS*,connect_reconnect_xdefi,breadcrumb_connect,,,
Ready,skip_connect,*THOR_WALLET_ADDRESS*,connect_reconnect_xdefi,button_connect,,,
Ready,skip_connect,*THOR_WALLET_ADDRESS*,connect_reconnect_xdefi,button_forget,,,
Ready,skip_connect,*THOR_WALLET_ADDRESS*,connect_reconnect_keystore,breadcrumb_skip,,,
Ready,skip_connect,*THOR_WALLET_ADDRESS*,connect_reconnect_keystore,breadcrumb_connect,,,
Ready,skip_connect,*THOR_WALLET_ADDRESS*,connect_reconnect_keystore,button_connect,,,
Ready,skip_connect,*THOR_WALLET_ADDRESS*,connect_reconnect_keystore,button_forget,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_prepare,breadcrumb_skip,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_prepare,switch_pool,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_prepare,select_send_container_asset,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_prepare,select_receive_container_asset,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_prepare,select_receive_container_target_address,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_prepare,select_slip_tolerance,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_prepare,select_slip_tolerance_slip_visible,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_prepare,tag_send_container_max,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_prepare,tag_receive_container_max,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_prepare,switch_arrow_send_receive_containers,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_prepare,button_swap_*FROM_ASSET*_*TO_ASSET*_usd_*numerical_usd_value*,numerical_usd_value,button_swap_THOR.RUNE_BCH.BCH_usd_100,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_prepare,button_swap_*FROM_ASSET*_*TO_ASSET*_target_address,,button_swap_THOR.RUNE_BCH.BCH_target_address,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_prepare,button_swap_*FROM_ASSET*_*TO_ASSET*_slip_%_*numerical_%_value*,numerical_%_value,button_swap_THOR.RUNE_BCH.BCH_slip_%_100,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_asset_search,breadcrumb_skip,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_asset_search,breadcrumb_swap,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_asset_search,option_selected_*ASSET*,,option_selected_THOR.RUNE,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_asset_search,button_cancel,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_receive_container_target_address_select,button_target_address_save,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_receive_container_target_address_select,button_target_address_save_changed,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_receive_container_target_address_select,button_target_address_cancel,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_confirm,breadcrumb_skip,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_confirm,breadcrumb_swap,,,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_confirm,button_swap_cancel_*FROM_ASSET*_*TO_ASSET*_usd_*numerical_usd_value*,numerical_usd_value,button_swap_cancel_THOR.RUNE_BCH.BCH_usd_100,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_confirm,button_swap_cancel_*FROM_ASSET*_*TO_ASSET*_target_address,,button_swap_cancel_THOR.RUNE_BCH.BCH_target_address,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_confirm,button_swap_cancel_*FROM_ASSET*_*TO_ASSET*_slip_%_*numerical_%_value*,numerical_%_value,button_swap_cancel_THOR.RUNE_BCH.BCH_slip_%_5,
Ready,skip_swap,*THOR_WALLET_ADDRESS*,swap_confirm,button_swap_confirm_*FROM_ASSET*_*TO_ASSET*_usd_*numerical_usd_value*,numerical_usd_value,button_swap_confirm_THOR.RUNE_BCH.BCH_usd_100,
